t,x,y,crs,NO2
2020-10-23,112.76061919283836,-7.223435430757696,b'',
2020-10-24,112.76061919283836,-7.223435430757696,b'',3.359503e-05
2020-10-25,112.76061919283836,-7.223435430757696,b'',1.1948927e-05
2020-10-26,112.76061919283836,-7.223435430757696,b'',
2020-10-27,112.76061919283836,-7.223435430757696,b'',0.00014083515
2020-10-28,112.76061919283836,-7.223435430757696,b'',2.1261387e-05
2020-10-29,112.76061919283836,-7.223435430757696,b'',
2020-10-30,112.76061919283836,-7.223435430757696,b'',
2020-10-31,112.76061919283836,-7.223435430757696,b'',
2020-11-01,112.76061919283836,-7.223435430757696,b'',4.5297405e-05
2020-11-02,112.76061919283836,-7.223435430757696,b'',
2020-11-03,112.76061919283836,-7.223435430757696,b'',
2020-11-04,112.76061919283836,-7.223435430757696,b'',
2020-11-05,112.76061919283836,-7.223435430757696,b'',
2020-11-06,112.76061919283836,-7.223435430757696,b'',2.0215713e-05
2020-11-07,112.76061919283836,-7.223435430757696,b'',3.1688814e-05
2020-11-08,112.76061919283836,-7.223435430757696,b'',3.009743e-05
2020-11-09,112.76061919283836,-7.223435430757696,b'',2.9888886e-05
2020-11-10,112.76061919283836,-7.223435430757696,b'',2.6359645e-05
2020-11-11,112.76061919283836,-7.223435430757696,b'',2.398882e-05
2020-11-12,112.76061919283836,-7.223435430757696,b'',2.9983037e-05
2020-11-13,112.76061919283836,-7.223435430757696,b'',
2020-11-14,112.76061919283836,-7.223435430757696,b'',
2020-11-15,112.76061919283836,-7.223435430757696,b'',
2020-11-16,112.76061919283836,-7.223435430757696,b'',2.0533282e-05
2020-11-17,112.76061919283836,-7.223435430757696,b'',3.2202865e-05
2020-11-18,112.76061919283836,-7.223435430757696,b'',1.509432e-05
2020-11-19,112.76061919283836,-7.223435430757696,b'',1.703354e-05
2020-11-20,112.76061919283836,-7.223435430757696,b'',
2020-11-22,112.76061919283836,-7.223435430757696,b'',
2020-11-23,112.76061919283836,-7.223435430757696,b'',
2020-11-24,112.76061919283836,-7.223435430757696,b'',
2020-11-25,112.76061919283836,-7.223435430757696,b'',
2020-11-26,112.76061919283836,-7.223435430757696,b'',
2020-11-27,112.76061919283836,-7.223435430757696,b'',
2020-11-28,112.76061919283836,-7.223435430757696,b'',
2020-11-29,112.76061919283836,-7.223435430757696,b'',
2020-11-30,112.76061919283836,-7.223435430757696,b'',
2020-12-01,112.76061919283836,-7.223435430757696,b'',
2020-12-02,112.76061919283836,-7.223435430757696,b'',
2020-12-03,112.76061919283836,-7.223435430757696,b'',
2020-12-05,112.76061919283836,-7.223435430757696,b'',
2020-12-06,112.76061919283836,-7.223435430757696,b'',
2020-12-08,112.76061919283836,-7.223435430757696,b'',
2020-12-09,112.76061919283836,-7.223435430757696,b'',
2020-12-10,112.76061919283836,-7.223435430757696,b'',
2020-12-11,112.76061919283836,-7.223435430757696,b'',
2020-12-12,112.76061919283836,-7.223435430757696,b'',
2020-12-13,112.76061919283836,-7.223435430757696,b'',
2020-12-14,112.76061919283836,-7.223435430757696,b'',
2020-12-15,112.76061919283836,-7.223435430757696,b'',
2020-12-16,112.76061919283836,-7.223435430757696,b'',
2020-12-17,112.76061919283836,-7.223435430757696,b'',
2020-12-18,112.76061919283836,-7.223435430757696,b'',
2020-12-19,112.76061919283836,-7.223435430757696,b'',
