Tanggal,Aktual,Prediksi,Kualitas Udara Aktual,Kualitas Udara Prediksi
2025-10-08,3.04868155e-05,3.239175733888889e-05,Rendah,Rendah
2025-10-09,2.6117268e-05,3.0076476327300002e-05,Sangat Rendah,Rendah
2025-10-10,3.6921418e-05,2.8109255792380947e-05,Rendah,Rendah
2025-10-11,2.7100930000000002e-05,3.517952998563333e-05,Sangat Rendah,Rendah
2025-10-12,1.9400319e-05,2.6809340677777784e-05,Sangat Rendah,Sangat Rendah
2025-10-13,1.3840518499999998e-05,3.2021801252458734e-05,Sangat Rendah,Rendah
2025-10-14,3.869617e-05,2.3066837911437913e-05,Rendah,Sangat Rendah
2025-10-15,2.9747692e-05,3.720393783666667e-05,Rendah,Rendah
2025-10-16,2.0799214e-05,3.5536614583888894e-05,Sangat Rendah,Rendah
2025-10-17,2.7062015e-05,3.352251344460318e-05,Sangat Rendah,Rendah
2025-10-18,2.5651745e-05,3.1969625024206346e-05,Sangat Rendah,Rendah
2025-10-19,2.5651745e-05,3.05161762609944e-05,Sangat Rendah,Rendah
2025-10-20,2.5651745e-05,3.298941866771709e-05,Sangat Rendah,Rendah
2025-10-21,2.5651745e-05,3.181828833138656e-05,Sangat Rendah,Rendah
2025-10-22,2.5651745e-05,3.181828833138656e-05,Sangat Rendah,Rendah
