Tanggal,Aktual,Prediksi,Kualitas Udara Aktual,Kualitas Udara Prediksi
2025-01-05,6.907460333333334e-05,7.783694162788378e-05,Tinggi,Tinggi
2025-01-06,6.155913e-05,6.524868085282107e-05,Sedang,Tinggi
2025-01-07,0.00012228139,5.99038102787412e-05,Tinggi,Sedang
2025-01-08,4.8166617e-05,0.00010226933489849208,Sedang,Tinggi
2025-01-09,5.12013633e-05,6.237805915309524e-05,Sedang,Sedang
2025-01-10,5.42361096e-05,4.275249583507936e-05,Sedang,Sedang
2025-01-11,5.72708559e-05,5.261209375937256e-05,Sedang,Sedang
2025-01-12,6.03056022e-05,5.7848000165960615e-05,Sedang,Sedang
2025-01-13,6.33403485e-05,6.170510299061265e-05,Sedang,Sedang
2025-01-14,6.63750948e-05,6.719468728246378e-05,Tinggi,Tinggi
2025-01-15,6.94098411e-05,7.024074036140134e-05,Tinggi,Tinggi
2025-01-16,7.24445874e-05,7.211788711307679e-05,Tinggi,Tinggi
2025-01-17,7.54793337e-05,7.189629118467754e-05,Tinggi,Tinggi
2025-01-18,7.851408e-05,7.596049384515318e-05,Tinggi,Tinggi
2025-01-19,7.870258631578948e-05,7.787544756664447e-05,Tinggi,Tinggi
2025-01-20,7.889109263157895e-05,8.087233689500833e-05,Tinggi,Tinggi
2025-01-21,7.907959894736842e-05,8.044707655526751e-05,Tinggi,Tinggi
2025-01-22,7.92681052631579e-05,8.044707655526751e-05,Tinggi,Tinggi
2025-01-23,7.945661157894738e-05,8.06639581505056e-05,Tinggi,Tinggi
2025-01-24,7.964511789473685e-05,8.06639581505056e-05,Tinggi,Tinggi
2025-01-25,7.983362421052632e-05,8.099301981717228e-05,Tinggi,Tinggi
2025-01-26,8.002213052631579e-05,8.099301981717228e-05,Tinggi,Tinggi
2025-01-27,8.021063684210526e-05,8.146488072193419e-05,Tinggi,Tinggi
2025-01-28,8.039914315789475e-05,8.160606123362249e-05,Tinggi,Tinggi
2025-01-29,8.058764947368422e-05,8.146133270505105e-05,Tinggi,Tinggi
2025-02-01,8.115316842105263e-05,8.134976788917804e-05,Tinggi,Tinggi
2025-02-02,8.13416747368421e-05,8.264463941710012e-05,Tinggi,Tinggi
2025-02-03,8.153018105263159e-05,8.244819971233821e-05,Tinggi,Tinggi
2025-02-04,8.171868736842106e-05,8.134381747186202e-05,Tinggi,Tinggi
2025-02-05,8.190719368421053e-05,8.222359905043345e-05,Tinggi,Tinggi
2025-02-06,8.20957e-05,8.222359905043345e-05,Tinggi,Tinggi
2025-02-07,6.719698e-05,8.300227316154456e-05,Tinggi,Tinggi
2025-02-08,5.229826e-05,6.689006328377345e-05,Sedang,Tinggi
2025-02-09,6.58309225e-05,4.964826937556277e-05,Tinggi,Sedang
2025-02-10,7.9363585e-05,6.866291328682837e-05,Tinggi,Tinggi
